
INFO:root:12/01/2020 23:46:14: File is empty, waiting for data
INFO:root:12/01/2020 23:47:12: File is empty, waiting for data
INFO:root:12/01/2020 23:48:12: File is empty, waiting for data
INFO:root:12/01/2020 23:49:02: File is empty, waiting for data
INFO:root:12/01/2020 23:49:55: File is empty, waiting for data
INFO:root:12/01/2020 23:50:51: File is empty, waiting for data
INFO:root:12/01/2020 23:51:48: File is empty, waiting for data
INFO:root:12/01/2020 23:52:47: File is empty, waiting for data
INFO:root:12/01/2020 23:53:44: File is empty, waiting for data
INFO:root:12/01/2020 23:54:30: File is empty, waiting for data
INFO:root:12/01/2020 23:55:27: File is empty, waiting for data
INFO:root:12/01/2020 23:56:24: File is empty, waiting for data
INFO:root:12/01/2020 23:57:23: File is empty, waiting for data
